Name of some of the long-range electric cars in India,Body type,Driving range,Charging time (10% to 80%),Price (ex-showroom Delhi)
Tata Nexon EV Max,Compact SUV,453,56,16.49
Mahindra XUV 400 EL,Compact SUV,456,50,18.99
MG ZS EV,Mid-size SUV,461,60,23.38
Tata Tiago EV,Small hatchback,315,60,10.19
Tata Tigor EV,Compact sedan,315,60,12.49
Mercedes Benz EQS,Luxury sedan,857,30,155
Kia EV6,Luxury sedan,708,18,60.95
BMW i4,Premium sedan,590,60,69.90
Audi e-Tron GT,Luxury SUV,500,22.5,179
Hyundai Kona EV,Mid-size SUV,452,57,23.84
Hyundai Ioniq 5,Premium SUV,631,18,44.95
BYD E6,MPV,521,50,29.15
BYD Atto 3,Mid-size SUV,521,50,33.99
BMW i7,Luxury sedan,625,34,195
MG Comet,Micro Car,230,210,8
Citroen eC3,Hatchback,320,57,11.61
Tata Punch,Mid-size SUV,421,55,10.99
